CLASSIC,EASY,Humai,54
FANTASY,EASY,humai,39
FANTASY,EASY,humok,90
FANTASY,EASY,humai,66
FANTASY,EASY,Stepon,13
FANTASY,EASY,Stepon,230
FANTASY,EASY,Stepon,122
FANTASY,EASY,Stepon,130
FANTASY,EASY,Stepon,135
FANTASY,EASY,Stepon,119
FANTASY,EASY,rifqi,105
FANTASY,HARD,humai,596
FANTASY,EASY,rifqi,28
FANTASY,EASY,rifqi,51
FANTASY,EASY,rifqi,41
FANTASY,EASY,ki,54
FANTASY,EASY,rifqi,41
FANTASY,EASY,rifqi jago,25
FANTASY,EASY,rifmok,39
FANTASY,EASY,nad ned nod,61
FANTASY,MEDIUM,humai,160
FANTASY,EASY,humai,13
